,name,duration,price,volume,is_nightly,nightly_desc,purchase_code,type
1,aptel_30_10.0,30,29000,10240,False,,*99*3*3*1#,اعتباری
2,aptel_30_20.0,30,48000,20480,False,,*99*3*3*1#,اعتباری
4,aptel_90_20.0,90,59000,20480,False,,*99*3*3*2#,اعتباری
6,aptel_180_50.0,180,125000,51200,False,,*99*3*3*3#,اعتباری
10,aptel_365_100.0,365,240000,102400,False,,*99*3*3*4#,اعتباری
11,aptel_365_50.0,365,135000,51200,False,,*99*3*3*4#,اعتباری
13,aptel_365_20.0,365,90000,20480,False,,*99*3*3*4#,اعتباری
15,aptel_180_10.0,180,45000,10240,False,,*99*3*3*3#,اعتباری
17,aptel_180_20.0,180,76000,20480,False,,*99*3*3*3#,اعتباری
18,aptel_90_10.0,90,35000,10240,False,,*99*3*3*2#,اعتباری
20,aptel_90_7.0,90,29000,7168,False,,*99*3*3*2#,اعتباری
22,aptel_15_1.0,15,8000,1024,False,,*99*3*2*4#,اعتباری
25,aptel_15_2.0,15,10000,2048,False,,*99*3*2*4#,اعتباری
27,aptel_30_2.0,30,11500,2048,False,,*99*3*3*1#,اعتباری
29,aptel_30_5.0,30,19000,5120,False,,*99*3*3*1#,اعتباری
31,aptel_15_7.0,15,18000,7168,False,,*99*3*2*4#,اعتباری
33,aptel_30_7.0,30,23000,7168,False,,*99*3*3*1#,اعتباری
34,aptel_7_1.0,7,7400,1024,False,,*99*3*2*3#,اعتباری
36,aptel_7_2.0,7,9000,2048,False,,*99*3*2*3#,اعتباری
38,aptel_7_5.0,7,13000,5120,False,,*99*3*2*3#,اعتباری
40,aptel_7_0.48828125,7,5400,500,False,,*99*3*2*3#,اعتباری
42,aptel_3_1.0,3,6400,1024,False,,*99*3*2*3#,اعتباری
44,aptel_3_2.0,3,7600,2048,False,,*99*3*2*3#,اعتباری
47,aptel_3_0.48828125,3,4400,500,False,,*99*3*2*2#,اعتباری
49,aptel_1_1.0,1,4700,1024,False,,*99*3*2*1#,اعتباری
51,aptel_1_0.09765625,1,1700,100,False,,*99*3*2*1#,اعتباری
54,aptel_1_2.0,1,6000,2048,False,,*99*3*2*1#,اعتباری
55,aptel_1_0.1953125,1,2400,200,False,,*99*3*2*1#,اعتباری
57,aptel_1_0.48828125,1,3600,500,False,,*99*3*2*1#,اعتباری
59,aptel_1_1.0,1,6000,1024,False,,*99,اعتباری
60,aptel_180_180.0,180,53000,184320,False,,*99,اعتباری
61,aptel_50_180.0,50,115000,184320,False,,*99,اعتباری
62,aptel_3_30.0,3,16500,30720,False,,*99,اعتباری
